Time,TFS-EE-226-BU-1_SUC-P.PV,TFS-EE-226-BU-2_SUC-P.PV,TFS-EE-226-BU-1_DISCH-P.PV,TFS-EE-226-BU-2_DISCH-P.PV,TFS-EE-176-MB_FC-HDR-DEN-OBS.PV,TFS-EE-176-MB_FC2-HDR-T.PV,TFS-EE-176-MB_FC2-HDR-GSF.PV,TFS-EE-176-MTR_OUT-P.PV,MLN-EE-76-U-1_SUC-P.PV,MLN-EE-76-U-2_SUC-P.PV,MLN-EE-76-U-1_CAS-P.PV,MLN-EE-76-U-2_CAS-P.PV,MLN-EE-76_DISCH-P.SP,MLN-EE-76_DISCH-P-CTRL.PV,MLN-EE-76_T.PV,MLN-EE-76_FLW.PV,TFS-EE-176-MB_FC-HDR-DEN-COR.PV,TFS-EE-176-MB_FC-HDR-T.PV,MLN-IZ-76_HLD-P.SP,MLN-IZ-76_HLD-P-CTRL.PV,MLN-EE-76-PCV_POS.PV,TFS-EE-209-V-1523_VLV.ST
2022-08-30 00:00:43,58.53780365,58.40215302,59.31661224,662.0332031,689.0,11.74123001,103,638.133667,-6.205814362,620.3457031,-17.02765656,7097.342285,3000,2991.701172,16.75583649,103.1214828,686.4816895,11.76657391,1250,1253.561768,28.64395142,CLOSED
2022-08-30 00:00:44,58.53979874,58.40034103,59.29931259,661.9917603,689.0,11.74101925,103,638.1082153,-6.21055603,620.2640381,-17.03919792,7097.882324,3000,2991.483643,16.75527763,103.1310043,686.4805298,11.76676273,1250,1253.614868,28.62944603,CLOSED
2022-08-30 00:00:45,58.54179764,58.40282822,59.29430008,661.9315186,689.0,11.74080944,103,638.168457,-6.205729961,620.190918,-17.0507412,7097.928223,3000,2991.404541,16.75471687,103.1642761,686.4845581,11.76695156,1250,1253.65332,28.62169266,CLOSED
2022-08-30 00:00:46,58.54379272,58.40531158,59.28929138,661.8713379,689.0,11.74059868,103,638.2286377,-6.188056469,620.1290283,-17.06228256,7097.313965,3000,2991.510498,16.75415802,103.2292175,686.4885864,11.76713943,1250,1253.675537,28.62294006,CLOSED
2022-08-30 00:00:47,58.54578781,58.40779495,59.28427887,661.8111572,689.0,11.74038792,103,638.2888794,-6.170383453,620.0671997,-17.07382584,7096.700195,3000,2991.616699,16.75359917,103.2941513,686.4926147,11.76732826,1250,1253.697754,28.62418747,CLOSED
2022-08-30 00:00:48,58.54778671,58.41028214,59.27927017,661.7509155,689.0,11.74017715,103,638.3490601,-6.171508312,619.9261475,-17.0853672,7096.828125,3000,2991.858643,16.75254631,103.3013153,686.4966431,11.76751709,1250,1253.720093,28.62543488,CLOSED
2022-08-30 00:00:49,58.5497818,58.4127655,59.27426147,661.7030029,689.0,11.74060249,103,638.4059448,-6.179629803,619.7556152,-17.09691048,7097.230957,3000,2992.150879,16.75130844,103.287117,686.4996948,11.76770592,1250,1253.74231,28.62668228,CLOSED
2022-08-30 00:00:50,58.55177689,58.41524887,59.26924896,661.722168,689.0,11.74445057,103,638.4443359,-6.187750816,619.585083,-17.10845184,7097.633789,3000,2992.443359,16.75007248,103.2729187,686.4977417,11.76789379,1250,1253.764526,28.62792969,CLOSED
2022-08-30 00:00:51,58.55377579,58.41773605,59.26424026,661.741333,689.0,11.74829769,103,638.482666,-6.186191082,619.6915894,-17.11999512,7095.320313,3000,2992.844727,16.74883461,103.2401428,686.4958496,11.76808262,1250,1253.786743,28.62917519,CLOSED
2022-08-30 00:00:52,58.55577087,58.42021942,59.25923157,661.7605591,689.0,11.75214481,103,638.5210571,-6.182104588,619.8027954,-17.13153648,7093.15918,3000,2992.988037,16.74759865,103.2301788,686.4938965,11.76827145,1250,1253.80896,28.63042259,CLOSED
